context_score	matched_terms	ID	Object	Layer	Canonical CNNA definition	Natural provenance	Computed from	ExecComplex/computable path	Object status	Code status	Current code modules / derivation site	Neutral target location / canonical API	Pillar-A access	Handoff rights	May be consumed by	Priority	Phase	Proof documentation status	Proof dossier
20	dtn; dirichletlaplacian; schur; boundary; laplacian; matrix; operator; handoff	S00	Dirichlet-Laplacian	Schur/DtN	DirichletLaplacianProfile.	Generated Dirichlet data.	Partition + weights + adjacency.	Matrix carrier carrier ExecComplex or bridge from Real to ExecComplex.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Finite/DirichletLaplacian.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedDirichletEntry.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedDirichletExecEntrySourceSM3bq.lean	CNNA/PillarA/Schur/DirichletLaplacian.lean	A-internal; consumers may use only Profile.	A->B only after boundary reduction/effective operator.	Schur, DtN, spectrum.	high	3.1	no	proof:S00
20	dtn; schur; generalizeddtn; boundary; matrix; operator; bright; handoff	S06	GeneralizedDtN / MultiSchur	Schur/DtN	GeneralizedBoundaryOperatorProfile.	Generated generalized DtN/MultiSchur chain.	Boundary operator + additional ports.	ExecComplex matrix profile.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Arithmetic/Smoke/GeneratedGeneralizedTopBoundaryDtNSM3hR.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedMultiSchurSM4.lean; CNNA/PillarA/Coupling/GeneralizedDtN.lean; CNNA/PillarA/Coupling/MultiSchur.lean	CNNA/PillarA/Schur/GeneralizedBoundaryOperator.lean	A-internal; legacy plan-semantic. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->B only if bright handoff specified; A->D dynamics optional. Uncorrected blue form is not handoff-exportable.	arithmetic matrices, Handoff.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	high	3.7	no	proof:S06
19	dtn; schur; boundary; laplacian; matrix; operator; bright; complement; handoff; interior; elimination	S05	DtN boundary operator	Schur/DtN	BoundaryOperatorProfile.	Interior elimination / Schur complement.	Laplacian blocks + inverse certificate. Route must be checked against BR06 before public-final promotion.	Matrix boundary boundary ExecComplex; Pflicht for Part 2.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Arithmetic/Smoke/GeneratedTopBoundaryDtNSM3gR.lean; CNNA/PillarA/DtN/DtN.lean	CNNA/PillarA/Schur/BoundaryOperator.lean	A-internal; central output. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->B as L/Operator erlaubt; A->C geometry optional; A may Output not konsumieren. Uncorrected blue form is not handoff-exportable.	arithmetic, B bright AQFT.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption; BR08 horizontal/vertical Schur-duality bridge	high	3.6	no	proof:S05
18	dtn; schur; boundary; interface; matrix; bright; dark; complement; handoff; interior	G05	Boundary / interface / interior partition	Schur geometry	PartitionProfile.	GeneratedBoundaryInteriorPartition / sources near SM3a/SM3b.	Carrier + cut/BoundarySpec.	indicator values operational as Bool/Finset; matrix entries Exec.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Arithmetic/Smoke/GeneratedBoundaryInteriorPartition.lean; CNNA/PillarA/Finite/CutSpec.lean; CNNA/PillarA/Finite/BoundaryPorts.lean	CNNA/PillarA/Schur/PartitionProfile.lean	A-internal; basis for Schur/DtN.	A->B only boundary/interface abstracted; dark complement not directly to B.	Schur, DtN, AQFT bright consumer.	high	1.3.1	no	proof:G05
16	dtn; schur; boundary; laplacian; matrix; operator; handoff; elimination	BR08	Horizontal/vertical Schur-duality bridge	Bridge	SchurHorizontalVerticalDualityProfile: horizontal sector Schur elimination and vertical level-recursion Schur elimination are compatible factorizations/aspects of one multiscale Schur decomposition of the derived Dirichlet-Laplacian, with explicit commutation/naturality conditions.	Derived DtN boundary operator, sector decomposition, IdealThread/CutSpec route split, transfermatrix recursion, and CD/Hurwitz profile.	S05, BR06, BR07, S07, S08, TM0, TM1, TM2, CD7, O05.	Bridge theorem may use finite operational witnesses; no algebraic irrationality is admitted except through EXEC-2 allowed mirror/invariant boundaries.	K	registered future bridge target; no canonical code yet	No canonical module yet; source audit must inspect Schur/DtN, Arithmetic/Smoke, Structural/CayleyDickson, and Transfer modules.	CNNA/PillarA/Bridge/SchurHorizontalVerticalDuality.lean	A-internal far bridge; cannot be consumed by earlier source phases.	No A->B/C/D/E handoff until theorem is proved and access policy is reviewed.	CD8; secondary derivation-geometry diagnostics; possibly later Pillar-A unification reports.	medium	10.4.1	no	proof:BR08
15	dtn; schur; boundary; matrix; operator; complement; handoff	LEG35	Ontic subsystem-minimality contract	LEG / global ontology and planning infrastructure	Global postulate: the only primitive ontic emergence trigger is subsystem-being, i.e. selecting a finite/local subsystem, cut or approximant inside the formal IDEAL_infty provenance whole. All further structures are derived consequences or comparison-only readings.	User-requested ontic-minimality sharpening after regime-typed test-matrix, Schur-duality, and open-system emergence discussions: avoid importing dynamics, physics, environment, stochasticity, arithmetic or geometry as primitive assumptions.	IDEAL_infty formal provenance whole; subsystem/cut/approximant selection; boundary; inside/outside split; complement families; noOuter/HasOuter regime; Schur/DtN effective operator chain	not a numerical object; constrains all computable paths by requiring concrete finite subsystem traversal before derived spectra/arithmetic/physics claims	G	planning/global-postulate infrastructure closed in v39; no Lean code	masters/cnna_roadmap_master.yaml; scripts/generate_tables.py; tables/global_postulates.tex; global no-go table; proof dossiers	global_postulates.POST1; LEG35 object dossier; GNG22; ontic subsystem-minimality workflow	global Pillar-A ontic constraint; no mathematical input beyond subsystem-being	may constrain all handoffs; exports no physics, arithmetic, geometry or dynamics as primitives	all phases and object dossiers; regime split; complement-family phases; Schur/DtN phases; spectral/physical consumers; documentation workflow	active-infrastructure	1.1.1.1.0.16	documented-in-v39	proof:LEG35
15	dtn; schur; boundary; matrix; operator; bright; handoff	O01	Boundary matrix over ExecComplex	Operational operator	ExecMatrixProfile.	DtN/MultiSchur -> Exec mirror.	Boundary operator + Exec bridge.	Matrix carrier carrier ExecComplex.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Arithmetic/Smoke/GeneratedMultiSchurExecBoundaryOperatorSM4q.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedMultiSchurExecBoundaryOperatorFromSM3fqPlusSM4q.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedLevelHistoryExecMatrixFromSM6bRecheckSM8.lean	CNNA/PillarA/Operational/BoundaryMatrix.lean	A-internal; neutral wrapper missing. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->B as bright operator; A->C as spectral/geometric source. Uncorrected blue form is not handoff-exportable.	Charpoly, algebra, B.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	high	4.1	no	proof:O01
15	dtn; schur; laplacian; matrix; handoff; interior; elimination	S01	Interior block	Schur/DtN	InteriorBlockProfile.	Dirichlet-Laplacian + partition.	Interior indices + matrix.	ExecComplex-matrix or proven bridge.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorBlock.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorEliminationCarrier.lean	CNNA/PillarA/Schur/InteriorBlock.lean	Present in SM3 chain, but plan-semantically named. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	Do not export directly; results only. Uncorrected blue form is not handoff-exportable.	Interior inverse, Schur.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	high	3.2	no	proof:S01
15	dtn; schur; boundary; operator; handoff; interior; elimination	S04	InteriorEliminationData	Schur/DtN	InteriorEliminationProfile.	TwoSidedInv + partition + blocks.	Interior block, inverse, couplings.	ExecComplex Schur-formula downstream.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorEliminationCertificateSM3fR.lean; CNNA/PillarA/DtN/DtN.lean	CNNA/PillarA/Schur/InteriorElimination.lean	A-internal; may be consumed by DtN. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	Not raw an B; only boundary operator. Uncorrected blue form is not handoff-exportable.	DtN, generalized DtN.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	high	3.5	no	proof:S04
15	dtn; schur; boundary; matrix; operator; complement; handoff	S08	CutSpec.full maximal-carrier profile	Finite approximant / cut profile	Neutral profile of CutSpec.full T where carrier(L) = T.carrier L; represents the maximal finite cut/full-region route.	Finite.CutSpec.full and full_carrier theorem.	TruncatedFamily carrier and CutSpec carrier_subset proof.	Pure finite-set/cut profile; later matrix/operator computations consume the resulting full boundary/region data, not IdealThread singleton data.	G	source theorem present; neutral public API not yet extracted	CNNA/PillarA/Finite/CutSpec.lean; CNNA/PillarA/Arithmetic/Core/FullBoundaryAudit.lean	CNNA/PillarA/Finite/FullCutProfile.lean	A-internal structural profile.	No direct handoff; downstream boundary operator may be exported only after Schur/DtN closure.	Full-boundary Schur/DtN route, boundary-route audit, sector/complement geometry.; BR08 horizontal/vertical Schur-duality bridge	high	1.2.8	no	proof:S08
14	dtn; schur; boundary; matrix; operator; handoff	BR06	Boundary-route extrema contract	Schur/DtN route governance	Contract separating full-boundary matrix geometry from IdealThread scalar/singleton collapse before Schur/DtN neutral wrappers.	S07 + S08 + ExistingIdealThreadNoGo + FullBoundaryAudit.	IdealThread singleton profile, CutSpec.full profile, boundary ports subset/carrier facts, and planned BoundaryOperatorProfile consumers.	Constrains later ExecComplex matrices: nontrivial boundary matrices must come from full/generated boundary route; thread route may only supply scalar audits unless lifted by theorem.	G	planned neutral route contract; source evidence exists in audits	CNNA/PillarA/Arithmetic/BoundarySource/ExistingIdealThreadNoGo.lean; CNNA/PillarA/Arithmetic/Core/FullBoundaryAudit.lean	CNNA/PillarA/Schur/BoundaryRouteContract.lean	A-internal route governance.	None; protects A->B handoff from scalar/thread collapse.	Phase 3 Schur/DtN wrappers and Phase 4 arithmetic wrappers.; BR08 horizontal/vertical Schur-duality bridge	high	3.0	no	proof:BR06
14	dtn; schur; boundary; matrix; operator; handoff	LEG24	Phase 3 to Phase 4 consumer-contract direction	Architecture governance	Phase3ToPhase4ConsumerContract	GEN-1 generator policy and Schur/DtN -> Exec arithmetic dependency direction	Phase 3.6 BoundaryOperatorProfile and Phase 4.1 ExecBoundaryMatrix	Infrastructure-only; records import direction and avoids duplicate Schur/generator logic	G	planning decision; no Lean code yet	masters/cnna_roadmap_master.yaml phase goals 3.6 and 4.1	CNNA/PillarA/Schur/BoundaryOperatorProfile.lean plus CNNA/PillarA/Operational/ExecBoundaryMatrix.lean	A-internal; constrains wrapper design	A->B only later through filtered profiles, not through implementation modules	Phase 3.6 and Phase 4.1	high	1.1.1.1.0.6	yes	proof:LEG24
14	dtn; schur; matrix; handoff; interior; elimination	S03	Two-sided inverse certificate	Schur/DtN	Two-sided inverse certificate.	Candidate + product identities.	Interior block + candidate.	Matrixprodukt-Statements operational pruefbar.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorProductIdentityProofR4a.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorTwoSidedInvFromSM3db7R.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorProvenTwoSidedInvR5.lean	CNNA/PillarA/Schur/TwoSidedInverse.lean	A-internal; consumable as certificate. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	Do not export directly; DtN output may be exported. Uncorrected blue form is not handoff-exportable.	InteriorEliminationData, DtN.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	high	3.4	no	proof:S03
13	dtn; schur; boundary; complement; handoff	LEG18	Open-system emergence-path forensics	Secondary long-term meta-analysis	A diagnostic map locating formal proof/module paths from regime/complement/boundary data toward effective open-system dynamics consumers.	Checked A regime/complement, DtN/Schur, A->C, and C/OQS derivation paths plus graph analysis.	future checked object dossiers and source-sink/dominator path analysis over relevant modules.	Non-operational path forensics. It may point to executable witnesses but does not generate OQS behavior.	K	future secondary target; blocked until A/C derivations are present	future A/C modules plus repo_inventory/raw_export path analysis	generated emergence-path forensic report; optional future MetaAnalysis/OpenSystemPathForensics.*	Diagnostic only; emergence claims must be proved from CNNA objects, not graph metadata.	No handoff rights.	Later A/C review and secondary architecture reports.	secondary-long-term	19.3	no	proof:LEG18
13	dtn; schur; matrix; handoff; interior	S02	Interior inverse candidate	Schur/DtN	InteriorInverseCandidateProfile.	SM3db trace/fold candidate chain.	Trace + accumulated entry fold.	Matrix ExecComplex/Real with bridge.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorInverseCandidateStart.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorInverseCandidateEntry.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorAccumulatedTraceEvaluation.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorInverseCandidateMatrix.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorInverseCandidateShapeSeparation.lean	CNNA/PillarA/Schur/InteriorInverseCandidate.lean	A-internal, legacy plan-semantic. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	Do not export directly. Uncorrected blue form is not handoff-exportable.	TwoSidedInv proof.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	high	3.3	no	proof:S02
9	schur; boundary; complement; handoff; interior	BR09	Subsystem-induced invariant bifurcation profile	Bridge	SubsystemSchurInvariantBifurcationProfile: cutting the infinite substrate creates boundary/interior data whose Schur complements expose horizontal algebraic invariants and vertical arithmetic invariants as two audited output families, without treating the slogan as proof.	Finite CutSpec/subsystem boundary plus multiscale Schur decomposition.	BR08 plus route-specific invariant records CD7/O05/TM0/S05.	Diagnostic/profile layer; operational witnesses must be concrete finite cuts and scalar recursion examples.	K	registered future explanatory bridge target; no canonical code yet	No canonical module yet.	CNNA/PillarA/Bridge/SubsystemSchurInvariantBifurcation.lean	A-internal explanatory bridge after BR08.	No handoff until mathematically proved and downgraded to a precise theorem statement.	Long-term derivation-geometry diagnostics; proofbook explanations.	low	10.4.1	no	proof:BR09
8	schur; boundary; matrix; handoff	BR07	Thread-recursion arithmetic-shadow audit profile	Operational arithmetic / route audit	Audit profile determining whether scalar Schur/Mobius recurrence data is sourced from IdealThread singleton carriers, full-boundary diagonal entries, or another generated boundary source.	RecursiveSchurSource, MobiusTransfer, CharpolyExec, operational discriminant chain, plus S07/BR06 route separation.	Code references to recurrence source fields, boundaryMatrixAt diagonal entries, transfer parameters, and discriminant outputs.	Operational only after concrete finite instance traversal proves the recurrence path and executable witness; otherwise mirror/comparison-only.	Y	recurrence code exists but route provenance still needs audit	CNNA/PillarA/Arithmetic/Schur/RecursiveSchurSource.lean; CNNA/PillarA/Arithmetic/Schur/MobiusTransfer.lean; CNNA/PillarA/Arithmetic/Schur/CharpolyExec.lean; CNNA/PillarA/Arithmetic/Smoke/*SM9*.lean	CNNA/PillarA/Operational/ThreadRecursionAudit.lean	A-internal audit profile.	None directly; discriminant outputs follow only via operational arithmetic phases.	Phase 4 arithmetic wrappers, Phase 5 number-theory phases, secondary diagnostics.; BR08 horizontal/vertical Schur-duality bridge; L09/L10 test matrix if thread-recursion arithmetic shadows are later connected to geometry	high	4.0	no	proof:BR07
8	schur; boundary; matrix; handoff	S07	IdealThread singleton directed-family profile	ToC / substrate profile	Neutral profile of an IdealThread U with carrier(L) = {U.cell L}, its DirectedFamily embedding, rootedness, forward property, and deterministic coarsen fixed-point behavior.	InfiniteThread + IdealThread.carrier + IdealThread.family in ToC.Contract.	SubstrateClass, InfiniteThread, IdealThread definitions; DeterministicSubstrateClass for coarsen fixed-point theorem.	Pure structural finite-set profile; no ExecComplex arithmetic. Concrete instance traversal must use reference/variation thread carriers and show singleton cardinality at finite levels.	G	source theorems present; neutral public API not yet extracted	CNNA/PillarA/Foundation/SubstrateClass.lean; CNNA/PillarA/ToC/Contract.lean; CNNA/PillarA/Arithmetic/BoundarySource/ExistingIdealThreadNoGo.lean	CNNA/PillarA/ToC/IdealThreadProfile.lean	A-internal structural profile.	None directly; not an A->B boundary matrix.	Boundary-route audit, scalar/thread-recursion audit, secondary diagnostics.; BR08 horizontal/vertical Schur-duality bridge	high	1.2.7	no	proof:S07
8	schur; boundary; matrix; handoff	SP0	Eigenvalue profile	Spectral	FiniteSpectrumProfile.	Exec matrix / charpoly. v37: placed on independent spectral/physical Path B after Phase 4.1, not behind modular/j path.	Matrix, polynomial.	General algebraic eigenvalues are mirror-only. Operational spectral path carries charpoly/coefficients/discriminants/gaps or other rational/integer certificates unless algebraic values are confined to mirror.	Y	present as source/seed; derivation still to be canonicalized; EXEC-2 mirror-boundary decision recorded	CNNA/PillarA/Finite/ExecSpectral/CharpolyCore.lean; CNNA/PillarA/Finite/ExecSpectral/EigenvectorKernel.lean; CNNA/PillarA/Finite/SpectralBridge.lean	CNNA/PillarA/Schur/Eigenvalueprofile.lean	A-internal after matrix.	A->B maybe as spectral data only if specified; A->C/E.	Heat kernel, gaps.; v37 Path B consumers	medium	10.1	no	proof:SP0
8	schur; matrix; operator; handoff	SP2	Heat kernel K(t)	Spectral geometry	HeatKernelProfile.	Spectrum/operator. v37: placed on independent spectral/physical Path B after Phase 4.1, not behind modular/j path.	Eigenvalues or matrix exponential seed.	Finite approximations operational; real exp mirror.	K	missing in code	no current heat-kernel module; MatrixExponential is related but not HeatKernelProfile	CNNA/PillarA/Schur/HeatkernelKt.lean	Far target.	A->D/E.	Spectral dimension.; v37 Path B consumers	low	10.3	no	proof:SP2
7	schur; interface; handoff	CD8	Arithmetic-CD compatibility as Schur-duality corollary	Bridge	CDArithmeticCompatibilityProfile as a corollary of BR08, not as an independently injected norm analogy.	Order/norm + CD Profile + horizontal/vertical Schur-duality bridge.	BR08, BR09, CD3/CD6/CD7, O05, and later number-theory norm objects when available.	Requires explicit coordinate bridge and concrete finite witness; no compatibility is accepted before the Schur bridge proof.	K	present as source/seed only; final theorem deferred to BR08/Phase 10.4.2	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean; CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean; CNNA/PillarA/Arithmetic/Convergence/QuaternionRamanujanInterface.lean	CNNA/PillarA/Bridge/ArithmeticCayleyDicksonCompatibility.lean	A-internal bridge after both algebraic and arithmetic Schur routes, not a Phase-6 public output.	A->E only after theorem.	Unification only after BR08 theorem; not by earlier CD/arithmetic source phases.	medium	10.4.2	no - dependency-order corrected in v31	proof:CD8
7	dtn; matrix; handoff	DBR6	Context-filtered documentation slice generator	Generated-secondary documentation/review tooling	A generator that creates query/profile-specific documentation packets preserving every major documentation section while emitting only rows relevant to the requested context. It consumes the Single-YAML-Master and generated TSV exports only.	DB-REVIEW side objective; user requirement for targeted documentation such as DtN matrix documentation and phase-closeout change documentation; generated-secondary/Lean-primary rule.	masters/cnna_roadmap_master.yaml; generated_exports/*.tsv; context_documentation_profiles; scripts/generate_context_doc.py.	Python tooling path only; not an operational CNNA mathematical computation and not a Lean theorem.	G	implemented as V1.08 documentation generator; no Lean code	scripts/generate_context_doc.py; masters/cnna_roadmap_master.yaml; context_docs/dtn_matrix/* sample output	"python3 Repository/scripts/generate_context_doc.py ""DtN Matrix"" --profile dtn-matrix --slug dtn_matrix"	Documentation/review only; may reference Pillar-A rows but cannot generate A-internal mathematics.	No pillar handoff rights.	Human review, phase closeout documentation, targeted documentation requests, online/database-ready generated views.	active-tooling	20.6	yes	proof:DBR6
7	schur; boundary; handoff	G00	Generator provenance	Foundation	Canonical A-internal generator/provenance record; no pillar consumer generates its own sources.	Generated substrate + proof-carrying Schur/Exec chain.	substrate, branching, level, partition, Schur data.	ExecComplex arises downstream; provenance itself is structural.	G	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Arithmetic/Smoke/GeneratedSource.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedMainPath.lean; CNNA/PillarA/Arithmetic/BoundarySource/GeneratedSubstrateRoute.lean	CNNA/PillarA/Foundation/GeneratorProvenance.lean	A-internal readable only along import order; no self-handoff use.	Do not export directly; only derived Profile in A->*.	All A-internal Profile; B/C/D/E only through outputs.	high	1.2.2	no	proof:G00
7	schur; matrix; handoff	TM0	Transfermatrix T_k	Schur algebra	TransferMatrixProfile.	Schur recurrence. v37: moved to Schur/transfer Path B and late BR08 bridge, not modular-form path.	Local recursion step.	Entries operational in polynomial/ring representation.	K	present, but incomplete/non-canonical	CNNA/PillarA/Arithmetic/Schur/MobiusTransfer.lean (anchor/status only); CNNA/PillarA/Arithmetic/Schur/Recurrence.lean; no full M2(Z[lambda]) proof	CNNA/PillarA/Transfer/TransfermatrixTk.lean	A-internal far target; not needed for immediate wrapper.	A->E only after proof.	Schur theory explanation.; BR08 horizontal/vertical Schur-duality bridge	low	10.4	no	proof:TM0
7	schur; matrix; handoff	TM1	Transfermatrix product	Schur algebra	TransferProductProfile.	TransferMatrixProfile. v37: moved to Schur/transfer Path B and late BR08 bridge, not modular-form path.	Trace/fold/product.	Operational finite product.	K	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Arithmetic/Schur/MobiusTransfer.lean (no product formalization)	CNNA/PillarA/Transfer/Transfermatrixproduct.lean	Far target.	A->E.	charpoly connection.; BR08 horizontal/vertical Schur-duality bridge	low	10.4	no	proof:TM1
7	schur; matrix; handoff	TM2	Moebius/continued fraction relation	Schur algebra	MobiusSchurProfile.	Transfermatrix. v37: moved to Schur/transfer Path B and late BR08 bridge, not modular-form path.	T_k action.	Operational finite map.	K	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Arithmetic/Schur/MobiusTransfer.lean (route/status; no theoremically complete Moebius-chain)	CNNA/PillarA/Transfer/Moebiuscontinuedfractionrelation.lean	Far target.	A->E.	Theoretical bridge.; BR08 horizontal/vertical Schur-duality bridge	low	10.4	no	proof:TM2
6	schur; handoff	CD0	Cayley-Dickson source	Structural algebra	CayleyDicksonSourceProfile.	Structural/CayleyDickson + Handoff adapter.	carrier/regularization/schur from closed A data.	Not inherently Exec; arithmetic compatibility path must state mirror.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Structural/CayleyDickson/Source.lean; CNNA/PillarA/Handoff/CayleyDicksonAdapter.lean	CNNA/PillarA/Structural/CayleyDickson/Source.lean	A-internal; reintegrate as structural consumer of A data, not separate generator. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->CayleyDickson output only; A must not consume own output. Uncorrected blue form is not handoff-exportable.	CD structural proofs.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	high	1.4.1	no	proof:CD0
6	schur; handoff	CD7	Hurwitz stop / R,C,H,O classification	Cayley-Dickson	HurwitzStopProfile.	CD duties closed.	alternative + norm + division.	Not Exec; structural theorem.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Structural/CayleyDickson/S6HurwitzStopSeed.lean; CNNA/PillarA/Structural/CayleyDickson/S6CayleyDicksonIdentification.lean	CNNA/PillarA/Structural/CayleyDickson/HurwitzStop.lean	A-internal structural; must be fully reintegrated as closed subproject. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->CD, later A->E as structural invariant. Uncorrected blue form is not handoff-exportable.	Architecture consistency.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption; BR08 horizontal/vertical Schur-duality bridge	medium	1.4.8	no	proof:CD7
6	schur; handoff	LEG27	Horizontal/vertical Schur-duality dependency-order lock	Planning / bridge governance	SchurDualityOrderLock: horizontal-sector Schur and vertical-level Schur may be compared only after their source routes are derived and exported.	Review insight plus existing route plan S07/S08/BR06/BR07/CD7/O05/TM0.	Planning master and dependency order.	No operational computation; constrains future bridge phases.	G	planning lock closed; no Lean code changed	masters/cnna_roadmap_master.yaml	Planning only; no Lean API target.	Global planning invariant.	No handoff output; constrains A-internal phase order.	BR08; BR09; CD8; Phase 10.4.1/10.4.2.	high	1.1.1.1.0.8	yes	proof:LEG27
6	schur; handoff	O05	Operational discriminant D_op	Arithmetic	OperationalDiscriminantCertificate.	SM9h.	QuadraticWindow.	discriminantValue : ExecComplex.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Arithmetic/Smoke/GeneratedOperationalQuadraticDiscriminantSourceFromSM9g1Window.lean	CNNA/PillarA/Operational/QuadraticDiscriminant.lean	A-internal; erster frozen Teil-2-Resetpunkt. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->C/E as arithmetic invariant; not as B-Dynamikquelle. Uncorrected blue form is not handoff-exportable.	Comparison, CM seed.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption; BR08 horizontal/vertical Schur-duality bridge	critical	4.5	no	proof:O05
6	schur; handoff	SP1	Spectral gap	Spectral	SpectralGapProfile.	FiniteSpectrumProfile. v37: placed on independent spectral/physical Path B after Phase 4.1, not behind modular/j path.	Eigenvalues/order.	Needs comparison/order; operational if finite exact/approx bridge.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Arithmetic/Graph/SpectralGapSeed.lean; CNNA/PillarA/Finite/ExecSpectral/Certificates.lean	CNNA/PillarA/Schur/Spectralgap.lean	A-internal.	A->B/D only as allowed profile.	Dynamics, UV cut.; v37 Path B consumers	medium	10.1	no	proof:SP1
6	schur; handoff	SP3	Spectral zeta zeta_H	Spectral geometry	SpectralZetaProfile.	Spectrum. v37: placed on independent spectral/physical Path B after Phase 4.1, not behind modular/j path.	Eigenvalues.	Analytic object; finite/truncated operational.	K	missing in code	no current spectral-zeta module	CNNA/PillarA/Schur/SpectralzetazetaH.lean	Far target.	A->E.	regularized determinant.; v37 Path B consumers	low	10.3	no	proof:SP3
6	schur; handoff	SP4	Spectral dimension	Spectral geometry	SpectralDimensionProfile.	HeatKernelProfile + limit. v37: placed on independent spectral/physical Path B after Phase 4.1, not behind modular/j path.	K(t).	Limit/mirror; finite estimator operational.	K	missing in code	no current spectral-dimension module	CNNA/PillarA/Schur/Spectraldimension.lean	Far target.	A->D/E.	physical interpretation.; v37 Path B consumers	low	10.3	no	proof:SP4
6	schur; handoff	SP5	Zeta-regularized determinant	Spectral geometry	ZetaDeterminantProfile.	SpectralZetaProfile. v37: placed on independent spectral/physical Path B after Phase 4.1, not behind modular/j path.	zeta_H.	Analytic mirror; finite determinant operational.	K	missing in code	no current zeta-regularized determinant module	CNNA/PillarA/Schur/Zetaregularizeddeterminant.lean	Far target.	A->E.	consistency.; v37 Path B consumers	low	10.3	no	proof:SP5
