ID	Topic	Thread evidence	External check	Plan disposition	CNNA action	Phase/Object	Risk / uncertainty
TOMS-01	Prime generation vs irreducible/prime distinction	#8-#10 and #48: Schur levels, Eisenstein/Gauss norm heuristics, TomS correction that irreducible need not be prime	Algebraically standard: UFD/PID/class-number gates are required before irreducible=prime can be claimed	Already broadly covered by NumberTheory phases but wording must stay strict.	Keep Heegner/PID/UFD indicator after class number; never claim prime generation from norm irreducibility without class-number/UFD proof.	6.2, 6.3 / N09-N13	The v3 script observations remain empirical/heuristic until operational recurrence, norm form, and class group gates are proved.
TOMS-02	Quadratic orders and lattice types	#9-#11: imaginary-quadratic integer rings have two order-shapes by d mod 4; elliptic functions exist on arbitrary non-collinear complex lattices	Established CM theory: quadratic orders/lattices are restrictive subfamily of all elliptic lattices	Covered by D_fund/order/lattice/tau phases; add caution to source map.	Do not say Schur levels generate all elliptic lattices; derive D/order/basis/tau first, then compare Gauss/Eisenstein special cases.	5.1-8.3 / N00-N07, L00-L07	Current code has special Gaussian/Eisenstein bridges but no general D_op->order pipeline.
TOMS-03	SL2Z/Moebius, modular functions, j	#13/#15/#22: SL2Z matrices act by z -> (az+b)/(cz+d), S and T generate transformations; j as invariant modular function	Milne/standard modular-form references support j as generator of modular-function field; thread contains minor typo-like fundamental-domain bound, so do not copy formulas unchecked	Already present but should remain after CM/tau, not before.	Keep modular group action, fundamental-domain representative, q-expansion and Hilbert class polynomial as post-lattice/modular phases.	9, 10.3 / M00-M06	Need authoritative source and mathlib import check at implementation; do not treat forum formulas as formal definitions.
TOMS-04	j algebraic at CM points	#30: j(tau) algebraic on imaginary-quadratic tau; CM connection	Milne modular-function notes and CM theory support algebraicity at imaginary-quadratic points	Covered by CM/lattice/j phases but dependency should be explicit.	Require tau upper-half-plane and CM/order provenance before j-values/class-polynomial work.	8-10.3 / L04-L05, M05-M06	Exact field/class-polynomial statements require class group/ring class field layer; current plan only has placeholders.
TOMS-05	L-functions are not Riemann-zeta-first	#49: TomS says zeta/L-functions yes, not specifically Riemann zeta; modular forms are the bridge	Standard theory: many L-functions attach to characters/modular forms; Riemann zeta is special with trivial character	Plan should not introduce Riemann-zeta as generator.	Keep chi_D/splitting before any L-function comparison; any L-function object is derived/comparison after character/modular data.	6.4, 10.5 / N15, spectral-zeta side object	Avoid conflating spectral zeta, Dirichlet L-functions, and Riemann zeta.
TOMS-06	Finite simple groups taxonomy	#43-#56: cyclic, alternating, Lie type, sporadic groups; groups as generalized prime-like objects	Warwick WMI: CFSG categories are cyclic prime order, alternating, Lie type, sporadic	Gap in v20: Moonshine section lacked explicit finite-simple-group taxonomy as comparison-only.	Add MOON3/MOON4 and phase 12.4 as external comparison context only.	12.4 / MOON3-MOON4	CFSG is extremely deep; never import it into A proof path as an unchecked theorem.
TOMS-07	Monster is not final object; common indicator matters	#64-#71: Monster/Moonshine; #67/#70 says Monster is only tip of iceberg, seek connecting structure and common indicator	Borcherds 1992 proves Conway-Norton moonshine conjectures using vertex algebras, Thompson series/Hauptmoduls, Monster simple group	v20 had Monster/McKay-Thompson placeholders; needs common-indicator/Hauptmodul bridge-test record.	Add MOON8 and phase 12.8; make Monster comparison subordinate to derived q-character/Hauptmodul tests.	12.8 / MOON8	Do not overfit CNNA to Monster; use it as late fingerprint test only.
TOMS-08	Leech lattice/rootlessness/theta shell data	#84/#93: Leech lattice has no roots; shell/theta coefficients expose missing first shell and 196560 minimal vectors	Borcherds 1985 proves Leech lattice existence/uniqueness and records no-root/Niemeier context	Gap in v20: no Leech-specific comparison object.	Add MOON5/MOON6 and phases 12.5-12.6.	12.5-12.6 / MOON5-MOON6	Thread details around root systems were corrected by Jakito/TomS; use corrected Erzeugendensystem not basis wording.
TOMS-09	VOA/chiral CFT/string-theory context	#64: Moonshine connection to bosonic string compactified on Leech lattice and 2D chiral CFT; #82/#85 caution about physics-from-math	Borcherds 1992 keywords include vertex algebras, monster simple group, Thompson series, Hauptmoduls	Needs strict comparison/consumer boundary.	Add MOON7 and keep string theory in side-comparison phase 18.2; no VOA/string axiom import into Pillar A.	12.7, 18.2 / MOON7	VOA formalization is much deeper than current A path; only finite graded truncations may be computable comparison artifacts.
TOMS-10	Elliptic functions are related but not the final bridge	#82/#89: TomS did not use elliptic functions as over-arching link; Jakito notes G_{2k}, Delta, j arise from elliptic-function lattice theory	Standard modular/elliptic-function pedagogy supports G4/G6 -> g2/g3 -> Delta -> j	Already covered by modular forms and Weierstrass invariant phases.	Keep elliptic-function material as necessary j-construction route, not as claimed universal CNNA endpoint.	9.1-9.2 / M02-M05	At implementation, distinguish analytic exact layer from finite q/truncation mirror.
TOMS-11	Fractal fundamental-domain imagery is low priority	#22/#24: fractal image language for iterated fundamental domains is explicitly uncertain/irrelevant in thread	No primary formal target needed for current CNNA plan	No action in near path.	Do not create a CNNA object for fractality; if ever needed, classify as visualization or tessellation comparison after modular action exists.	10.3 only if needed	Avoid spending proof effort on metaphorical/visual claims.
TOMS-12	Physics-from-math caution	#37/#85: TomS objects that physics is not obtained by pure mathematics alone; thread is not a CNNA ontological source	Methodological warning aligns with comparison-only and handoff discipline	Supports existing access policy.	Keep established physics/math theories as references and tests, never as ontic/generative inputs.	access_policy; 18.* comparisons	Empirical/physical claims remain speculative unless reconstructed from CNNA and compared to experiment.
TOMS-13	Heuristic b-ary tree construction of Eisenstein/Gauss lattice profiles	post #97: b-ary address construction; b>=2 heuristic; Eisenstein angle 120 degrees and closure of 0-path at level 3; Gauss angle 90 degrees and closure at level 4; hierarchical overlays versus spiral angle dependence.	The thread entry is heuristic and self-authored, not a theorem source. Established CM/j special targets should be verified from formal references during M05/M08; forum data may define tests but not proofs.	Add green boundary lock 1.1.1.1.0.9 and future phases 8.5-8.7 for static/dynamic test matrices and closeout.	Use code-defined branching b. Test rows must cover angle, rational cosine, finite address collisions/closure, CM point target, discriminant target, and j target over selected L_max values. Keep complex coordinates/tau/j analytic evaluation mirror-only under EXEC-2.	1.1.1.1.0.9; 8.5-8.7 / LEG28, L09, L10, M08, BR10	The geometric embedding is not yet derived from the generator; it may fail or remain comparison-only. Dynamic branching and general D require later source objects and cannot be assumed from b=2 drawings.
TOMS14	Post #97 as early general test source, not special-case tunnel	Post #97 motivates Eisenstein/Gauss angle/closure tests from b-ary tree drawings.	The source is heuristic and special-case oriented; it does not define the code branching object or a complete general test suite.	Use as sentinel rows inside O07/L09/L10, not as the complete test matrix.	Add LEG29/O07 and GNG16; update Phase 8.5/8.6 to require generic coverage before sentinel interpretation.	1.1.1.1.0.10, 4.0.1, O07, L09/L10/M08/BR10	If generic rows are too weak, sentinels may create false confidence. Coverage must be reviewed when real code starts.
TOMS15	Eisenstein/Gauss as noOuter-root sentinels, not the full Heegner story	Post #97 gives b-ary address and angle/closure heuristics: 120 degrees with closure at L=3 for Eisenstein; 90 degrees with closure at L=4 for Gauss; the author also marks the discussion as heuristic in #99.	Class-number-one/Heegner lists contain more than D=-3 and D=-4, so CNNA must not identify all Heegner targets with the closed/noOuter branch. Established lists are comparison targets, not CNNA derivations.	Add LEG30/O08/N18/BR11/BR12, GNG17, and phases 1.1.1.1.0.11, 4.0.2, 7.2.1.	Use regime-typed test rows: Eisenstein/Gauss are noOuter-root sentinel candidates; other Heegner/CM targets are HasOuter/complement-projection or comparison rows unless noOuter provenance is derived.	1.1.1.1.0.11; 4.0.2; 7.2.1 / LEG30, O08, N18, BR11, BR12	This is a CNNA hypothesis and test classification, not yet a theorem. It may fail once concrete rows are computed; failure should trigger backjump to regime/complement source layers, not a consumer patch.
HORN-GA-01	Horn 0709.2238v1 quaternion, Pauli and geometric-algebra synthesis	Uploaded PDF 0709.2238v1, sections on quaternions, Pauli matrices, geometric algebra and duality.	Horn presents quaternions, Pauli matrices and Hestenes geometric algebra as overlapping frameworks synthesized through duality; the paper is didactic/conceptual and not a CNNA proof source.	Create comparison/reference gates GA0-GA3 under 1.4.9.* and keep them outside the derived-only generator chain.	Record target identities and ambiguity warnings: Hamilton unit products, Pauli/Cartan sign choices, complex-i versus quaternion-i, pseudoscalar duality, pure quaternion as bivector and biquaternion multivector bookkeeping.	1.4.9; 1.4.9.1; 1.4.9.2 / GA0-GA3	Sign conventions, orientation choices and semantics are underdetermined by the external reference; a CNNA-derived object may fail the target or match only after a natural-origin proof supplies missing structure.
HORN-GA-02	Mathlib Quaternion and CliffordAlgebra seams as future formal target APIs	Web source review of current mathlib Quaternion and CliffordAlgebra documentation plus Lean geometric-algebra formalization literature.	Mathlib exposes Quaternion/QuaternionAlgebra and CliffordAlgebra APIs; Wieser/Song note GA formalization through CliffordAlgebra and gaps around wedge/N-grading.	Record as possible future comparison implementation seams only; no import is added before local Lean/mathlib 4.28.0 verification.	Add scratchpad expected-import warnings for 1.4.9.*, 13.2.1 and 13.6.1; route implementation through minimal target profiles if mathlib imports are too heavy or noncomputable.	1.4.9.1; 1.4.9.2; 13.2.1; 13.6.1 / GA1-GA5	Live docs may differ from the pinned project snapshot. Noncomputable or classical pressure must remain in mirror/comparison layers and never enter operational paths.
HORN-GA-03	Dirac, spacetime algebra and conformal GA as late target gates only	Horn discussion of quaternionic Dirac motivation, complex quaternions, outlook toward spacetime algebra and conformal geometric algebra.	The material is useful for target-gate design but cannot supply Lorentz structure, Dirac equations, spacetime dimension or conformal geometry as CNNA inputs.	Add 13.6.1 and 18.5 as late comparison phases with GA5-GA6.	Use after Pillar-B local-net/modular data and side-comparison outputs exist; compare signatures and structural compatibility, not foundations.	13.6.1; 18.5 / GA5-GA6	Potentially high heuristic pull toward established physics. Guardrail: no Dirac/STA/CGA theorem enters CNNA before derived predecessor objects exist.
ROADMAP-01	Roadmap source hierarchy and definition/notation discipline	Original roadmap sections Dokumenttyp/Quellenhierarchie, Definitionskatalog, Notationspflicht and Register state that the roadmap is a gate document, that every core object needs one canonical row, primary readable form, exact Lean binding, notation target module/scope and alias/register separation.	Internal roadmap evidence only; it is not checked Lean. Its discipline aligns with current Single-YAML-master, object register and total declaration classification policies.	Add RDV0 and Phase 22.0; tighten notation/register handling as a prerequisite for Explorer/source-intake closure.	Do not let glossary/register/notation rows create Fachobjekte. Route each non-meta form to one canonical object or explicit non-object bucket.	22.0 / RDV0, CEX11, LEG37	Risk: the original roadmap contains many planned/legacy names; without total owner/bucket mapping it could inflate the object universe or duplicate aliases.
ROADMAP-02	Migration law: direct port, semantic rewrite, bright-special-case and late seed	Original roadmap migration-law sections distinguish portable kernels, modules requiring semantic re-reading, Bright-special-case regression material and late seeds/diagnostics. Boundary-first is explicitly not the new architecture center.	This is a migration audit rule, not a proof of any object. It matches the current natural-provenance patch rule and no phase-semantic public API naming policy.	Add RDV1 and Phase 22.1; require migration disposition for legacy modules/objects before reuse or de-seeding.	Classify every legacy candidate as direct_port, semantic_rewrite, bright_special_case_regression_oracle or late_seed_or_diagnostic; keep old BoundaryMatrix path as regression/reference where appropriate.	22.1 / RDV1	Risk: direct porting can silently preserve obsolete Boundary-first semantics if disposition is not recorded before refactor.
ROADMAP-03	De-seeding, old-path regression, immediate readability and rollback	Original roadmap operative rules require SourceMap, removal of free cutoffs/states/dictionaries/observers, derived-only gate, notation binding, old-path regression oracle, pinned toolchain/build aggregators/importgraph audit and rollback artifacts.	These are governance conditions; they do not close any Lean theorem by themselves. They complement object lifecycle and phase patch-link workflows.	Add RDV2, Phase 22.2, workflows and guardrail GNG46.	No Seed/Scaffold/Window module loses its suffix or becomes current API without source map, derived-only gate, notation/readability binding, importgraph cycle check, regression evidence and rollback snapshot.	22.2 / RDV2	Risk: de-seeding without regression and rollback could make legacy scaffold assumptions appear as current CNNA objects.
ROADMAP-04	Modular B core chain and no full-derived QFT face without complement net	Original roadmap chain sheet defines ComplementLocalNet/ComplementStateNet/ComplementGNS/SeparatingProperty/TomitaTakesakiData/ModularConjugation/ComplementKMS/ComplementSpectrumCondition/BisognanoWichmannSeed and forbids shortcuts from GNS/KMS directly to CPT/Kramers.	AQFT/modular theory is established reference context, not a CNNA input. The plan must derive B objects from A->B handoff and B net/state data.	Add B07, Phase 13.8, RDV3/22.3 and guardrails GNG47/GNG48.	Require ComplementGNS -> SeparatingProperty -> TomitaTakesakiData/ModularConjugation -> ComplementKMS -> ComplementSpectrumCondition before BW/CPT/spin-statistics/Kramers claims.	13.8, 22.3 / B07, RDV3	Risk: bright-only recovery or split-property-like placeholders could be mistaken for a full-derived complement-net QFT face.
ROADMAP-05	Nuclearity, DHR/DR and charge/statistics reconstruction above B core	Original roadmap 6g-6i extension adds NuclearitySeed/Nuclearity, DHRSectorsSeed and FieldAlgebraReconstructionSeed plus ChargeStatisticsCoherence.	DHR/DR/nuclearity are deep established-theory targets; in CNNA they must be comparison/consumer gates until source-map-derived profiles exist.	Add B08 and Phase 13.9; keep them after the modular B core and before E matter promotion.	Use nuclearity as phase-space control beyond split property and DHR/DR as charge/gauge reconstruction bridge, not as imported axioms.	13.9, 22.3 / B08, RDV3	Risk: too early DHR/DR language could smuggle established AQFT reconstruction into CNNA instead of deriving source-compatible gates.
ROADMAP-06	ParameterClosure PC-a-PC-d and de-primitive rest parameters	Original roadmap PC-a-PC-d chain requires BranchingWitness, UVSpectralSelector, BranchingSelector, BackreactionSelector, ParameterClosure, HorizonLevel, EffectiveLambda, BackreactionFixedPoint and RegularizationClosure; beta, b and Lmax cannot remain silent primitive exports.	This is a dependency-order/gate obligation; no closure theorem is implied by roadmap prose.	Add PC00 and Phase 15.5; add guardrail GNG49.	Route b/Lmax/beta/regularizer handling through derived selectors, horizon/fixed-point data or explicit residual-variable markers before AS/NCG/window language is allowed.	15.5, 22.4 / PC00, RDV4	Risk: free numerical/thermal parameters could remain hidden as legacy inputs while the plan claims derived-only maturity.
ROADMAP-07	D/E bridge, local covariance, Hadamard/Wick and renormalized D language	Original roadmap D minimal tree and D/E chain sheet require DerivedSpacetime, InterfaceCausality, LocalCovariance, RelativeCauchyEvolution, DynamicalLocality, HadamardStateSeed, MicrolocalSpectrumGate, LocalWickPolynomialsSeed, DerivedStressTensorSeed and later DHR/DR/CPT/statistics bridges.	LCQFT/Hadamard/Wick/NCG are external target structures; their CNNA role is staged gates/comparison layers.	Add D04, DE00, Phases 15.6 and 16.5, and RDV5/22.5.	Stage D/E so local-covariant and microlocal admissibility precede stress tensor/entanglement/Einstein/NCG comparisons and matter reconstruction.	15.6, 16.5, 22.5 / D04, DE00, RDV5	Risk: D or E could start from familiar physics vocabulary before the necessary CNNA locality/covariance/state/gate chain exists.
ROADMAP-08	Feynman matter audit and semantic cone/time-reversal warnings	Original roadmap Feynman audit states: time reversal alone is not matter; anti-linear involution does not replace particle/antiparticle dictionaries, spinor representations, CAR/Fock structures, exchange signs or chiral inflow; GlobalStateCone is not a lightcone.	Physics interpretation is reference/gate material only. Existing time-reversal or cone code cannot be read as full matter/causality by name alone.	Add E04, Phase 16.5 and guardrail GNG50.	Require charge/anticharge, statistics sign, representation and D/E bridge gates before Matter labels are promoted. Keep cone/time-reversal semantics disambiguated.	16.5, 22.6 / E04, RDV6	Risk: word-level overlap such as cone/time reversal could create false physical closure in documentation and Explorer views.
ROADMAP-09	Late particle/scattering/IR horizon windows	Original roadmap late horizon layer records ClusterDecompositionSeed, HaagRuelleSeed, ParticleInterpretationWindow and InfraredChargeClassSeed after charge reconstruction and spectral control.	Scattering/IR are crucial physics horizons but not immediate core blockers; treat them as windows/reference targets.	Add E05 and Phase 16.6.	Keep particle/scattering/IR visible for long-term completeness while preventing them from blocking Pillar A/B/C/D core closure or entering as primitives.	16.6, 22.6 / E05, RDV6	Risk: without a horizon row, later phenomenology may either disappear from the plan or be introduced too early as a core object.
ROADMAP-10	Meta-audit markers, context sheet and multi-level truth protocol	Original roadmap protocol and meta-audit markers distinguish archive-bound roadmap evidence, formal verification, semantic/prose review, physical interpretation, AI as heuristic/translation layer, and special windows as windows.	This aligns with current no-infallibility/expert-review and Lean/YAML/tool separation. It still needs explicit ledger/checklist integration.	Add Phase 22.7; link RDV0-RDV6 to context-class taxonomy, object significance, total declaration classification and external-source cross-check.	Use meta-markers and context sheets as audit tags, not as mathematical data. Ensure AI/prose/physics claims are reviewable and do not override kernel-checked code.	22.7 / RDV0-RDV6, CEX11	Risk: a polished generated PDF/Explorer could make roadmap prose appear more certain than checked code or expert-reviewed semantics.
REALOQS-01	REALOQS source inventory	Uploaded REALOQS v0.0605 source zip.	Static scan: 270 Lean files, 1727 declarations, 88 PillarB files, 62 PillarB/AQFT files, 596 AQFT declarations; no sorry/admit/axiom hits by text scan.	Accept as legacy code-evidence source only.	Add RLC0 and phase 23.0; archive source and scan reports.	23.0 / RLC0	No Lean build was run here; text scan does not prove semantic compatibility or current mathlib compatibility.
REALOQS-02	AQFT foundation layer	REALOQS PillarB/AQFT foundation modules.	StarAlgebra, StateOn, CStar bundles, LocalStarAlgebraNet, StateNet and basic hom/restriction lemmas are present.	Useful as target/profile map; direct import blocked.	Add 23.1 / RLC1 migration-disposition ledger.	23.1 / RLC1	Some structures may be superseded by mathlib/native CNNA abstractions; trivial wrappers and semantic load must be classified.
REALOQS-03	A->B dependency inversion	TreeOfCliquesFromPillarA, extended FromA and Meta/PillarB files.	Legacy B code often sees old A-side interfaces/config/harness objects directly.	Treat as incompatibility risk with current CNNA A->B handoff discipline.	Add 23.2 / RLC2; require explicit handoff replacement map.	23.2 / RLC2	Some concepts may still be recoverable, but only after CNNA-derived A->B source data exists.
REALOQS-04	BoundaryMatrix AQFT derived layer	REALOQS PillarB/AQFT/Derived/BoundaryMatrix*.lean.	28 BoundaryMatrix derived modules, 378 declarations, all 28 files marked noncomputable in the scan; many use @[simp].	Advanced target route; not operational-path compatible as-is.	Add 23.3 / RLC3 rewrite and noncomputable-isolation plan.	23.3 / RLC3	Text scan cannot distinguish harmless noncomputable reference code from semantically essential noncomputability; future module-level review required.
REALOQS-05	Haag-Kastler gates	REALOQS PillarB/Gates/HaagKastler and AQFT/HaagKastler modules.	Isotony, locality, additivity, covariance, spectrum, vacuum, time-slice, strong additivity and split-property gate vocabulary exists.	Use as gate checklist and ordering prompt.	Add 23.4 / RLC4; route locality/spacetime-dependent gates behind C/D prerequisites where needed.	23.4 / RLC4	Legacy predicates may encode assumptions that CNNA must derive later; no closure claim.
REALOQS-06	State/GNS/KMS/modular route	REALOQS AQFT State, StateNet, GlobalCone, GNS, KMS, TimeOrientation, TimeReversal and derived KMS/GNS/Modular modules.	A plausible route state -> state net -> GNS -> dynamics/KMS -> modular data is already sketched in code.	Use as sequence target, not imported source.	Add 23.5 / RLC5 route comparison.	23.5 / RLC5	Regime split noOuterEnvironment vs HasOuterEnvironment must be enforced; time reversal alone must not become matter semantics.
REALOQS-07	Quasi-local/split/nuclearity horizon	REALOQS AQFT/QuasiLocal and split-property modules plus roadmap B08.	Quasi-local carrier/completion/star/state-lift and split-property themes exist.	Align with later modular B, nuclearity and DHR/DR horizon.	Add 23.6 / RLC6.	23.6 / RLC6	May require established AQFT comparison layers; must not be treated as CNNA-generated until B core and source gates exist.
REALOQS-08	Examples/meta files	REALOQS Examples/TreeOfCliques_AQFT_* and Meta/PillarB_* files.	Examples and meta closure/active-path files are numerous and partly noncomputable.	Quarantine from critical path; mine as regression expectations only.	Add 23.7 / RLC7.	23.7 / RLC7	Examples can overfit old scaffold; regression harnesses need new CNNA source objects before execution.
ASTRO-27	Derived-only closure requires generated operational smoke path	Astronews CNNA thread page 2, post #27. Key content: algebraic idle-run success is insufficient; skeleton, component proof logic and genuine data must all pass through the machine. Lines 237-243 in the 2026-05-12 readout state that only then can one really speak of derived-only.	This is not external theory input; it is a public project self-audit statement by antaris.	Promote to global derived-only closure rule and workflow.	Added POST3, GNG55 and Generated-data derived-only closure workflow.	Global; SM/AR/AQFT/Explorer status logic; CEX0/CEX11.	Forum text is interpretive project governance, not Lean evidence. It constrains status semantics but does not prove any object.
ASTRO-27B	Missing structures must be generated at their natural source layer	Astronews CNNA thread page 2, post #27 lines 240-243: repeated downstream failures require jumping back through earlier phases until the natural emergence site is found; forcing the missing structure at the failure site created chaos in the first attempt.	Consistent with existing CNNA provenance rule but stronger: the origin-selection decision itself must be documented.	Promote to red-blocker/natural-origin workflow and no-go rule.	Added GNG56 and Natural-origin missing-structure workflow; links to pre-implementation red status and addressing-phase generation.	All implementation phases; pre-implementation phase-check policy; lifecycle/provenance ledgers.	The natural origin may require expert review and may not be decidable from a text scan alone.
ASTRO-28	YAML/Explorer as epistemic control layer beyond linear PDF/TeX manageability	Astronews CNNA thread page 2, post #28 lines 288-307: generalized reusable smoke-test/generator, implementation thought-experiment checks, PDF/TeX insufficiency, YAML as machine-readable living object, SQL/MySQL website and Mindmap/Universe-Explorer vision.	This is a project-tooling self-audit and UI/knowledge-management requirement.	Promote to Explorer motivation, thought-experiment readiness workflow and generated-secondary documentation rule.	Added GNG57, GNG58, Implementation-thought-experiment phase-readiness workflow and Explorer/YAML epistemic-control workflow.	21.0-21.9; CEX0-CEX11; PIPC policy; SQL/Explorer future mirror.	The UI/database realization is future infrastructure; YAML remains planning source and Lean remains truth source.
ASTRO-29	Foundation no-free-parameter axiomatics and regime split	Astronews CNNA thread page 2, post #29 lines 330-341: Foundation has only incoming dependency arrows, exposes the no-free-parameter foundation; axioms are root/empty-set infinite partial order, finite subsystems, root approximation closed/unitary/no dark-interface, non-root approximation complement-bearing/open bright/interface/dark split; L_max/horizon and branching require derivation/backreaction.	This sharpens the global foundation/regime semantics already used in Pillar A/B planning.	Promote to global postulate and parameter provenance guardrails.	Added POST2, GNG59, GNG60 and Pillar co-development/acyclic handoff workflow.	Foundation; ParameterClosure; A->B/A->C/A->D/A->E handoffs; Pillar B-E planning.	Forum statement is governance/interpretation; Lean modules still need to prove each formal claim at the appropriate layer.
ASTRO-29B	Pillar B-E co-development without provenance cycles	Astronews CNNA thread page 2, post #29 lines 338-341: L_max likely needs Pillar D spacetime reconstruction; D may need A, B, C and parts of E; B-E may need deep simultaneous derivation from A; no current need for stochastic quantities.	This challenges a naive linear A->B->C->D->E order but does not authorize cyclic proof dependencies.	Represent co-development with explicit acyclic handoff/backreaction windows and edge semantics.	Added GNG61 and Pillar co-development and acyclic handoff workflow.	B-E sidechains; CNNA Explorer graph edge semantics; handoff ledgers.	Exact handoff topology remains open until future phases derive the relevant objects.
