Topic	Assessment	Decision
Three-layer versioning	Lean toolchain/API level, Lean-code snapshot timestamp, YAML planning/register state and tool infrastructure state change under different causes and must not be collapsed.	Maintain timestamp-complete pairs, with an asymmetric Lean pair: lean_data_version records the static Lean toolchain/API level, currently lean-4.28.0, and lean_data_timestamp records the Lean-code snapshot/data timestamp. planning_data_version + planning_data_timestamp track phase/object/scratchpad/dossier/YAML policy changes; tool_infrastructure_version + tool_infrastructure_timestamp track only generator/importer/frontend/tool-code changes. A version value without its paired timestamp is invalid for history, SQL mirror, Explorer provenance and generated-release metadata. Legacy aliases are compatibility fields, not semantic source fields.
Primary working format	LaTeX, generated tables, and exported TSV files are unsuitable as primary editing sources for the roadmap.	The only maintained source is masters/cnna_roadmap_master.yaml; all tables, links, and optional exports are generated from it.
Tables as single source	Separate phase, object, and access master files drift even if their rendered tables look synchronized.	phases, objects, access policy, legends, code audit, and scratch-pad records are all sections of one YAML master.
Scratch-pad synchronization	Manual scratch-pad prose inside the .tex file causes drift.	The How implemented column is generated from phase_id links into implementation_scratchpad.yaml; green phases without YAML records are generator errors.
Code-module assignment	Every object and phase row names the current derivation site and the neutral target module.	This makes visible whether something is derived-only, legacy-only, incomplete, or missing.
Subphases	Unlimited dot notation is allowed only when dependency depth justifies it.	Split criterion: too many prerequisites, a deep DAG chain, different proof kinds, or a new generation layer.
Object and phase status separated	A shared color code hides whether an object is complete or only close.	Object status uses W/B/G/Y/R/K. Phase status uses only G/Y/R/W with exactly one active cursor.
Single-master validation	A new phase, object, or scratch-pad record must appear everywhere after generation, or generation fails.	The generator validates phase IDs, object IDs, phase-object links, active cursor, scratch-pad completeness, and no manual generated columns.
Roadmap horizon policy	The full CNNA roadmap must be visible without treating distant goals as proved or implementation-ready.	Short-term focus is Pillar A. Mid-term focus is Pillar B QFT and Pillar C OQS. Long-term focus is Pillar D spacetime, Pillar E matter, and explicit backreaction. External speculative theories are side-comparison targets only.
No speculative foundation import	Strings, loop quantum gravity, noncommutative geometry, and full ToE narratives may be useful external comparisons but must not enter the CNNA foundation as assumptions.	Only established mathematics and physics objects are admitted into the derivation core. Speculative frameworks may be registered as consumer-side comparisons if they emerge from CNNA outputs.
Implementation scratch-pad workflow	A phase can be prepared from reliable mathematical/physical sources before any Lean implementation. Preparation must not be confused with closure.	Use scratch-pad fields inside the single YAML master: source materials, extracted theory objects, dependency audit, proof rehearsal, tactic plan, guardrails, fallback layer, and post-green checks.
TomS thread ingestion rule	The thread is useful as a map of established structures, but it mixes exposition, corrections, heuristic CNNA replies, and later clarifications. It is not a source of CNNA-generative data.	Store extracted objects in a cross-check register, map them to phases/objects, and classify each as derived target, comparison-only target, correction, or no-action note. Use primary/authoritative sources before any formalization step.
Legacy TeX/PDF authority cleanup	Retaining v20/v21 TeX filenames as maintained-looking sources creates ambiguity after the YAML master becomes authoritative.	v22 package uses a v22 main TeX/PDF filename. Any old TeX/PDF is historical output only and should not be edited as a roadmap source.
Blue-object and pruning planning	Derived-only proofs are not enough to make an object public-final when the semantic/API boundary is still wrong. Likewise, syntactic non-use is not enough to delete.	v23 introduces consumption classification, blue-object correction ledger, public API contract, and pruning ledger before any code move/deletion.
Implementation module manifest	Before any code change, the plan must state exact added/modified modules, semantic placement, import direction, reuse decision, public/legacy role, consumer direction, generic finite test placement, phase type, regression mode, version impact, and mathlib/noncomputable risk.	Phase 1.1.1.1.1 closes this as a generated/validated module-manifest contract. The generator now emits a module-manifest table/TSV from scratchpad fields and validates that every scratchpad record carries the manifest fields; later code phases must fill them before Lean edits.
EXEC-2 rational ExecComplex boundary	ExecComplex is Q x Q and is suitable for integer/rational operational invariants in Phases 3-6, but not for general algebraic irrationalities such as sqrt(D), general CM tau, algebraic eigenvalues, or non-rational lattice embeddings.	Operational paths end at the Q x Q boundary. Algebraic irrationalities live only in mirror/non-operational layers. Only proved rational/integer invariants, such as discriminants, norms, rational special-angle cosines, and h=1 integer j-values when separately proved, may flow back into the operational path.
Refactor regression mode	The Notation split touches a large import surface, so an all-at-once move risks long red intervals and consumer ambiguity.	Use wrapper-first incremental refactoring: add neutral wrappers beside legacy, migrate bounded consumer batches, record declaration counts/import deltas/breakage audit, and require local full-build evidence for every code package before closing a refactor phase.
Lean/mathlib version policy	Future number-theory and algebra phases may be tempted to chase newer mathlib APIs, while the current baseline is Lean 4.28.0 plus its mathlib snapshot.	Freeze to the baseline for implementation unless an explicit phase-boundary upgrade gate is opened. A version upgrade is its own review/build event; mathlib noncomputable pressure must be isolated in mirror/non-operational layers or cause a natural-source refactor, not an operational leak.
Phase-type-specific scratchpads	A refactor phase and a new derivation phase need different evidence. One flat scratchpad creates not-applicable ballast and misses migration metrics.	Every phase records phase_type. Refactor phases require migration/regression metrics; derivation phases require proof rehearsal/tactic/mathlib data; comparison phases require derived-only boundary; infrastructure phases must state why no operational witness is required.
Governance-depth retrospective	The deep Phase-1 governance stack is justified by the SM1-SM9h failure modes, but it must not become the project itself.	After the first real code-change phase 1.1.2 closes, run an explicit retrospective: identify which governance gates prevented actual errors and decide whether Phase 3+ can use a flatter max-three-level structure.
Phase 3 to Phase 4 consumer contract	Phase 3 must wrap Schur/DtN before Phase 4 consumes it, but the Phase-4 generator path is the canonical operational consumer and should shape the Phase-3.6 public contract.	Phase 3.6 publishes a consumer-ready BoundaryOperatorProfile for Phase 4.1 without importing Phase 4. Phase 4 consumes that contract and must not reconstruct Schur/DtN internals or implement parallel generator logic.
IdealThread/CutSpec.full extremal routes	Code confirms IdealThread is an InfiniteThread with singleton carrier per level and DirectedFamily embedding; CutSpec.full is carrier := T.carrier. ExistingIdealThreadNoGo already proves the singleton route cannot generate a non-singleton carrier/boundary source.	Treat IdealThread and CutSpec.full as two extremal profiles. IdealThread may supply scalar/thread-route audits; full boundary/DtN matrices require full/generated boundary data. Any lifting from thread to nontrivial boundary geometry needs its own theorem and phase.
String-like interpretation boundary	The one-dimensional/string-like reading is a potentially useful physical analogy, but it is not a Lean theorem and cannot supply generative CNNA data.	Register the analogy only as comparison/diagnostic material under secondary long-term goals and proof dossiers. Never use it to justify a module, formula, discriminant, spectrum, or handoff without derived code evidence.
Thread recursion versus full-boundary arithmetic provenance	The code contains RecursiveSchurSource/MobiusTransfer/CharpolyExec chains, but the exact provenance relation between scalar recurrence, IdealThread singleton carriers, full-boundary diagonal entries, and generated boundary sources must be audited before interpretation.	Insert a Phase 4.0 audit before operational arithmetic wrappers. D=-3/D=-4 or CM claims may be promoted only through the operational discriminant/number-theory chain, not through analogy.
Horizontal/vertical Schur-complement duality bridge order	The algebra path and arithmetic path plausibly share Schur-complement structure, but the claim depends on separately derived horizontal sector elimination, vertical level recursion, transfermatrix data, and CD norm structure.	Register the bridge as BR08 in Phase 10.4.1 only. It is not an input to Phase 1.4, 3, 4, 5, or 6. CD8 is deferred to Phase 10.4.2 as a corollary candidate, not a Phase-6 final theorem.
One-generator Schur mechanism boundary	A unified Schur generator is an architectural target: the same Dirichlet-Laplacian/Schur machinery may yield horizontal algebraic and vertical arithmetic invariants. This remains a theorem obligation, not a premise.	Use the one-generator language only as a planning constraint and proof target. Code may share the canonical generator, but no formula may be accepted because it fits the unification story; every entry must be proof-carrying from the earlier route.
Heuristic Eisenstein/Gauss lattice tests	Post #97 gives a useful heuristic for 120-degree Eisenstein and 90-degree Gauss spiral embeddings of a b-ary tree, but it does not define the code branching object and includes irrational/analytic targets outside ExecComplex.	Represent this material as a consumer-only test matrix after generator/lattice/CM/j source objects exist. Use code-defined b and L_max; operational rows may compute finite relations and rational/integer invariants, while tau, sqrt(D), coordinates, and analytic j stay in mirror/comparison layers.
General early finite test matrix vs. specialized sentinel rows	Eisenstein/Gauss tests are valuable early sentinels, but two special examples cannot certify that the computable path is general or non-skeletal.	Introduce O07 as the generic finite computation test matrix. L09/L10/M08/BR10 are specialized consumers/sentinel extensions. Every computation phase must define generic rows before or alongside sentinels.
Regime split for Heegner/CM test rows	The nine classical class-number-one/Heegner fields are number-theoretic comparison targets, but CNNA closed/unitary status is a regime statement, not a class-number statement. The noOuter empty-set REAL-root branch may have only Eisenstein/Gauss as early sentinel candidates; additional Heegner targets are naturally treated as IDEAL_infty projection/complement-family rows until proven otherwise.	Implement regime-typed test rows. Generic finite rows come first. Eisenstein/Gauss may be tested as noOuter-root sentinels. All other Heegner/CM targets default to HasOuter/complement-projection or comparison-only rows unless a later proof derives noOuter provenance.
EXEC-3 computable scalar architecture	ExecComplex is code-confirmed as rational pairs QxQ and maps into mathlib Complex through ExecComplexBridge. This is executable and robust for rational/integer matrix, polynomial, determinant and discriminant data, but it cannot represent general algebraic irrational coordinates such as sqrt(D) or tau. The need for a quadratic layer is therefore foreseeable; the provenance question is solved by indexing it by derived D.	Keep ExecComplex as the rational operational floor. Do not expand it into a full Complex layer. Treat O09 as a required exact quadratic schema for later CM/lattice coordinates, but concrete instantiation requires O10/BR14 and a proof-carrying discriminant D-source.
Exact quadratic layer versus full computable Complex	Mathlib Complex is Real x Real, and mathlib number fields/algebraic closures are formal rather than generally executable. Mathlib QuadraticAlgebra gives explicit coordinates and multiplication; AdjoinRoot demonstrates relation-generated root adjoining via quotient, but docs expose noncomputable instances that require boundary audit.	Implement or wrap a minimal discriminant-indexed exact quadratic schema rather than a full computable Complex. Mathlib QuadraticAlgebra may guide/wrap the schema after audit; AdjoinRoot is a useful quotient/reference pattern but any noncomputable quotient/field instances must stay out of operational code unless isolated.
Cayley-Dickson route to C-layer noncircularity	The current CD code is structural and shares Schur provenance; ArithmeticCDBridge explicitly records no ExecMirror-CDComplex identification without a transfer lemma. A CD-derived C surface is therefore not currently an operational scalar replacement.	Do not derive the operative C-layer from Cayley-Dickson before CD7/BR08/CD8. Register CD9 as a late noncircularity audit. If proved, it may compare or bridge scalar surfaces; it may not retroactively justify earlier ExecComplex or arithmetic definitions.
EXEC-4 derived-only exact quadratic provenance	The later theory will need exact quadratic data, but derived-only forbids introducing sqrt(D) as a number, axiom, or CD/Complex import. The only acceptable source is an already derived operational discriminant parameter D.	O09 is a parameterized algebraic schema with theta^2 = D. O10/BR14 instantiate it only from O05/O06 or equivalent proof-carrying discriminant ledgers. Missing D is an upstream discriminant-source gap, not a scalar-layer patch.
PHASE-5-10 dependency bifurcation	v36 placed spectral/physical objects inside or behind a modular-form/j chain, even though SP0/SP1/P00-P06 consume finite boundary matrices, algebra/star/state/regime data and not j or modular forms. Phase 10 also mixed modular, transfer, spectral, analytic and bridge targets.	Split the post-Phase-4 roadmap into Path A (number theory -> lattice geometry -> modular/j -> analytic theta/L/class-number formula) and Path B (spectral finite profile -> finite physical/operator dynamics -> heat/spectral geometry -> transfermatrix -> late Schur/CD bridges). No object may inherit a modular-form dependency unless its proof target explicitly consumes modular data.
PHASE-OBJECT-LINK policy	The phase table previously rendered Linked objects from direct equality object.Phase == phase.Phase only. Empty cells were often valid for umbrella, closeout, baseline or moved phases, but the view did not explain that and could be mistaken for missing objects.	Every phase has an explicit Object link policy: direct, scope_only, no_direct_object, or moved. The generator renders policy-aware text and validates that direct phases have direct objects and scope-only phases have child object scope. Blank Linked objects cells are forbidden.
ONT-1 ontic subsystem-minimality	Without an explicit ontic-minimality contract, later phases could silently import dynamics, environment, geometry, stochasticity, arithmetic, operator algebra or physics as primitive interpretation rather than deriving them from the subsystem/complement cut.	The only primitive ontic emergence trigger is subsystem-being inside the formal IDEAL_infty provenance whole. All effective structures are derived downstream from cut, boundary, complement families, regime and Schur/DtN consequences. Physical readings are consumer interpretations, never generative inputs.
DB-REVIEW main side objective and database-ready planning representation	The Single-YAML-Master remains the maintained planning source, but its information should be structured so phases, objects, modules, handoffs, status colors, theory links, proof dossiers, and review paths can later be queried through a relational or graph-friendly database.	Add Phase 20 as a non-blocking main side objective. Technical database implementation is later, but schema discipline and review semantics apply immediately. YAML/PDF/TSV/DOT are generated views, not a second truth system.
Epistemic review status and no-infallibility maxim	A green Lean build proves formal consistency relative to selected definitions, not semantic infallibility of modeling choices, interpretations, or established-theory attachments. Generated artifacts can also contain semantic errors.	Record the maxim that nothing is infallible and no 100-percent truth is declared. Every relevant claim remains under discipline-specific expert review, and missing blue/reference-theory markings are active audit debt.
OOP-style context-class separation for phases and objects	The previous status colors were doing two jobs: release-state signaling and, implicitly, type/context signaling. That risks a category error: a green tool/database/reference object can look like a green Lean object.	V1.26 adds Context class as an orthogonal class/type field on all phases and objects, renders it in phase/object/proof/scratchpad/module-manifest tables, and keeps status colors strictly as release/proof-state indicators.
Object lifecycle versus phase history	Object rows can lose currency when patched, renamed, deleted or retired; phase rows represent historical implementation/review events and therefore should not become outdated. Scratchpads and dossiers need different ownership semantics to avoid contradictions.	Every object receives lifecycle fields: Object lifecycle state, Lifecycle predecessor object(s), Lifecycle successor/current object, Lifecycle note and Current dossier pointer. Object dossiers remain object-owned; scratchpads remain phase-owned implementation records; lifecycle metadata cross-links them. Old objects are retained and point forward; old phases are retained and linked to patch/successor phases.
Original roadmap as legacy/reference migration source	The uploaded CNNA_Roadmap_v0605_revised_v38_reviewfix_umlaute.tex contains useful source hierarchy, migration, chain-sheet, gate, de-seeding, D/E, matter-audit and meta-audit obligations, but it is not checked Lean and cannot become CNNA-generative data.	Register roadmap material through external-source cross-check rows, roadmap ledger objects and narrow future phases. The roadmap may force gates and audit duties; it may not supply axioms, proof closure or direct object validity.
Roadmap chain sheets as first-class planning gates	The original roadmap chain sheets expose dependency order that was too coarse in the previous B/D/E blocks.	Represent modular B core, Nuclearity/DHR/DR, ParameterClosure, D local-covariance/Hadamard/Wick and D/E/Feynman matter chains as explicit phase/object/gate obligations.
Astronews #27 generated-data closure semantics	The project self-audit distinguishes algebraic skeleton success from genuine derived-only closure. A compiled skeleton can be an idle run; the closure claim requires generated data to traverse the operational machinery.	Treat this as global status semantics: green/derived-only closure requires skeleton, proof obligations and operational generated-data smoke evidence.
Astronews #28 YAML and Explorer as epistemic control	The public project statement identifies PDF/TeX as insufficient datastores for CNNA-scale complexity and motivates YAML, generated views, SQL mirrors and an exploratory Mindmap/Universe-Explorer.	Record the Explorer as epistemic control and review infrastructure, not presentation vanity. YAML is the planning source; SQL/Explorer are read-only/generated mirrors; PDF/TeX are secondary renderings.
Astronews #29 no-free-parameter foundation and regime split	The foundation is described as root/empty-set partial order plus finite subsystem selection, with root approximation closed/unitary/no dark-interface and non-root approximation complement-bearing/effectively open. Parameters such as L_max and branching need theory-internal derivation/backreaction provenance.	Promote this to global postulate/guardrail semantics and require explicit parameter provenance before any handoff/export.
