Object ID	Object	Phase	Object status	Proof documentation status	Proof dossier	Consumption class	Classification evidence	Public promotion gate
G00	Generator provenance	1.2.2	G	no	proof:G00	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
H00	A input handoff B->A	2.3.1	Y	no	proof:H00	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
H01	A input handoff C->A	2.3.1	Y	no	proof:H01	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
H02	A input handoff D->A	2.3.1	Y	no	proof:H02	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
H03	A input handoff E->A	2.3.1	Y	no	proof:H03	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
O00	ExecComplex	1.2.1	W	partial	proof:O00	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
G01	substrate: regular branching	1.2.3	Y	no	proof:G01	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
G02	substrate: variable branching	1.2.4	Y	no	proof:G02	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
G03	Level / Cutoff	1.2.5	Y	no	proof:G03	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
G04	Carrier / index type	1.2.6	Y	no	proof:G04	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
G05	Boundary / interface / interior partition	1.3.1	Y	no	proof:G05	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
G06	Regime: noOuterEnvironment	1.3.2	Y	no	proof:G06	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
G07	Regime: hasOuterEnvironment	1.3.2	Y	no	proof:G07	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
G08	Complement families: UV tail	1.3.3	R	no	proof:G08	dead-candidate	object register status R; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
G09	Complement families: IR/parent-path tail	1.3.3	R	no	proof:G09	dead-candidate	object register status R; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
G10	Complement families: sideways environment	1.3.3	R	no	proof:G10	dead-candidate	object register status R; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CD0	Cayley-Dickson source	1.4.1	B	no	proof:CD0	blue-semantic-correction	object register status B; semantic/API correction required before any public-final use	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CD1	Scalar part	1.4.2	B	no	proof:CD1	blue-semantic-correction	object register status B; semantic/API correction required before any public-final use	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CD2	Cayley-Dickson star/conjugation	1.4.3	B	no	proof:CD2	blue-semantic-correction	object register status B; semantic/API correction required before any public-final use	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CD3	CD normSq	1.4.4	B	no	proof:CD3	blue-semantic-correction	object register status B; semantic/API correction required before any public-final use	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CD4	CD multiplication/product	1.4.5	B	no	proof:CD4	blue-semantic-correction	object register status B; semantic/API correction required before any public-final use	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CD5	Alternative law	1.4.6	B	no	proof:CD5	blue-semantic-correction	object register status B; semantic/API correction required before any public-final use	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CD6	Norm multiplicativity	1.4.7	B	no	proof:CD6	blue-semantic-correction	object register status B; semantic/API correction required before any public-final use	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CD7	Hurwitz stop / R,C,H,O classification	1.4.8	B	no	proof:CD7	blue-semantic-correction	object register status B; semantic/API correction required before any public-final use	blue objects are blocked; all public exports additionally require proof dossier and public API contract
S00	Dirichlet-Laplacian	3.1	Y	no	proof:S00	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
S01	Interior block	3.2	B	no	proof:S01	blue-semantic-correction	object register status B; semantic/API correction required before any public-final use	blue objects are blocked; all public exports additionally require proof dossier and public API contract
S02	Interior inverse candidate	3.3	B	no	proof:S02	blue-semantic-correction	object register status B; semantic/API correction required before any public-final use	blue objects are blocked; all public exports additionally require proof dossier and public API contract
S03	Two-sided inverse certificate	3.4	B	no	proof:S03	blue-semantic-correction	object register status B; semantic/API correction required before any public-final use	blue objects are blocked; all public exports additionally require proof dossier and public API contract
S04	InteriorEliminationData	3.5	B	no	proof:S04	blue-semantic-correction	object register status B; semantic/API correction required before any public-final use	blue objects are blocked; all public exports additionally require proof dossier and public API contract
S05	DtN boundary operator	3.6	B	no	proof:S05	blue-semantic-correction	object register status B; semantic/API correction required before any public-final use	blue objects are blocked; all public exports additionally require proof dossier and public API contract
S06	GeneralizedDtN / MultiSchur	3.7	B	no	proof:S06	blue-semantic-correction	object register status B; semantic/API correction required before any public-final use	blue objects are blocked; all public exports additionally require proof dossier and public API contract
O01	Boundary matrix over ExecComplex	4.1	B	no	proof:O01	blue-semantic-correction	object register status B; semantic/API correction required before any public-final use	blue objects are blocked; all public exports additionally require proof dossier and public API contract
O02	Determinant coefficient recurrence	4.2	B	no	proof:O02	blue-semantic-correction	object register status B; semantic/API correction required before any public-final use	blue objects are blocked; all public exports additionally require proof dossier and public API contract
O03	Operational polynomial profile	4.3	B	no	proof:O03	blue-semantic-correction	object register status B; semantic/API correction required before any public-final use	blue objects are blocked; all public exports additionally require proof dossier and public API contract
O04	Quadratic coefficient window	4.4	B	no	proof:O04	blue-semantic-correction	object register status B; semantic/API correction required before any public-final use	blue objects are blocked; all public exports additionally require proof dossier and public API contract
O05	Operational discriminant D_op	4.5	B	no	proof:O05	blue-semantic-correction	object register status B; semantic/API correction required before any public-final use	blue objects are blocked; all public exports additionally require proof dossier and public API contract
O06	Comparison target policy	4.6	G	no	proof:O06	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
O07	General finite computation test matrix profile	4.0.1	Y	planned dossier; must be filled before implementation	proof:O07	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
N00	Fundamental discriminant D_fund	5.1	G	no	proof:N00	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
N01	Conductor f	5.1	G	no	proof:N01	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
N02	Quadratic field K=Q(sqrt(D))	5.2	Y	no	proof:N02	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
N03	Quadratic order O_D	5.3	Y	no	proof:N03	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
N04	Integral basis / omega_D	5.4	Y	no	proof:N04	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
N05	Trace form	5.5	Y	no	proof:N05	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
N06	Norm form	5.5	Y	no	proof:N06	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
N07	Conjugation	5.5	Y	no	proof:N07	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
N08	Unit group O_D^*	6.1	Y	no	proof:N08	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
N09	Class group Cl(O_D)	6.2	Y	no	proof:N09	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
N10	Class number h(D)	6.2	Y	no	proof:N10	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
N11	Fractional/integral ideas	6.2.1	Y	no	proof:N11	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
N12	Principal ideal predicate	6.2.2	Y	no	proof:N12	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
N13	Heegner/PID/UFD indicator	6.3	Y	no	proof:N13	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
N14	Prime splitting behavior	6.4	Y	no	proof:N14	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
N15	Kronecker/Dirichlet character chi_D	6.4	Y	no	proof:N15	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CD8	Arithmetic-CD compatibility as Schur-duality corollary	10.4.2	K	no - dependency-order corrected in v31	proof:CD8	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
L00	Lattice embedding Lambda -> C	7.1	Y	no	proof:L00	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
L01	Lattice basis	7.1	Y	no	proof:L01	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
L02	Gram matrix	7.2	Y	no	proof:L02	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
L03	Lattice determinant / covolume	7.2	Y	no	proof:L03	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
L04	Period ratio tau	7.3	Y	no	proof:L04	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
L05	Upper half-plane condition	7.3	Y	no	proof:L05	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
L06	Angle / cosine profile	7.4	Y	no	proof:L06	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
L07	Lattice automorphism group	7.5	Y	no	proof:L07	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
M02	Eisenstein series G4,G6	8.1	Y	no	proof:M02	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
M03	Weierstrass invariants g2,g3	8.2	Y	no	proof:M03	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
M04	Modular discriminant Delta_mod	8.3	Y	no	proof:M04	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
M05	j-invariant	8.4	Y	no	proof:M05	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
SP0	Eigenvalue profile	10.1	Y	no	proof:SP0	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
SP1	Spectral gap	10.1	Y	no	proof:SP1	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
P00	Operator algebra	10.2	Y	no	proof:P00	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
P01	Star operation	10.2	Y	no	proof:P01	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
P02	State functional	10.2	Y	no	proof:P02	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
P03	Gibbs state	10.2	Y	no	proof:P03	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
P04	Time evolution	10.2	Y	no	proof:P04	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
P05	Unitarity certificate	10.2	Y	no	proof:P05	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
P06	Open channel / effective openness	10.2	R	no	proof:P06	dead-candidate	object register status R; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
N16	Dirichlet L-function L(s,chi_D)	9.2	K	no	proof:N16	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
N17	Class number formula	9.3	K	no	proof:N17	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
L08	Theta series Theta_Lambda	9.1	K	no	proof:L08	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
M00	Modular group action SL2Z	8.0	K	no	proof:M00	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
M01	Fundamental domain representative	8.0	K	no	proof:M01	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
M06	q-expansion of j	8.8	K	no	proof:M06	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
M07	Hilbert class polynomial H_D	8.8	K	no	proof:M07	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
TM0	Transfermatrix T_k	10.4	K	no	proof:TM0	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
TM1	Transfermatrix product	10.4	K	no	proof:TM1	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
TM2	Moebius/continued fraction relation	10.4	K	no	proof:TM2	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
SP2	Heat kernel K(t)	10.3	K	no	proof:SP2	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
SP3	Spectral zeta zeta_H	10.3	K	no	proof:SP3	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
SP4	Spectral dimension	10.3	K	no	proof:SP4	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
SP5	Zeta-regularized determinant	10.3	K	no	proof:SP5	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
P07	KMS condition	13.4	K	no	proof:P07	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
P08	GNS Hilbert space	13.4	K	no	proof:P08	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
P09	Tomita operator S	13.5	K	no	proof:P09	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
P10	Modular operator Delta	13.5	K	no	proof:P10	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
P11	Modular conjugation J	13.5	K	no	proof:P11	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
P12	Bisognano-Wichmann/CPT bridge	13.6	K	no	proof:P12	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
P13	Spin-statistics	13.6	K	no	proof:P13	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
P14	Kramers degeneracy	13.6	K	no	proof:P14	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
P15	Split property	13.6	K	no	proof:P15	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
P16	Local net / Haag-Kastler algebraic axioms	13.3	K	no	proof:P16	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
H10	A->B bright handoff	11.1	Y	no	proof:H10	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
H11	A->B prime/dark future handoff	11.2	R	no	proof:H11	dead-candidate	object register status R; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
H12	A->C handoff	11.3	Y	no	proof:H12	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
H13	A->D handoff	11.4	Y	no	proof:H13	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
H14	A->E handoff	11.5	K	no	proof:H14	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
MOON0	j coefficient stream	12.1	K	no	proof:MOON0	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
MOON1	Monster dimension comparison profile	12.2	K	no	proof:MOON1	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
MOON2	McKay-Thompson comparison profile	12.3	K	no	proof:MOON2	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
B00	Pillar B input contract from A	13.1	K	no	proof:B00	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
B01	Boundary star-algebra / observable algebra	13.2	K	no	proof:B01	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
B02	Local net / QFT algebraic profile	13.3	K	no	proof:B02	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
B03	B state/GNS/KMS profile	13.4	K	no	proof:B03	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
B04	Tomita-Takesaki modular data	13.5	K	no	proof:B04	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
B05	CPT/BW/spin-statistics/split gates	13.6	K	no	proof:B05	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
B06	B->A allowed output profile	13.7	K	no	proof:B06	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
C00	Pillar C OQS input contract from A	14.1	K	no	proof:C00	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
C01	Finite CP/channel profile	14.2	K	no	proof:C01	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
C02	Effective OQS generator / Lindblad gate	14.3	K	no	proof:C02	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
C03	Decoherence/noise profile	14.4	K	no	proof:C03	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
C04	C->A allowed output profile	14.5	K	no	proof:C04	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
D00	Pillar D spacetime input contract	15.1	K	no	proof:D00	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
D01	Region/localization/causal-order candidate	15.2	K	no	proof:D01	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
D02	Metric/coarse-geometry/covariance gate	15.3	K	no	proof:D02	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
D03	D->A allowed output profile	15.4	K	no	proof:D03	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
E00	Pillar E matter input contract	16.1	K	no	proof:E00	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
E01	Matter sector and internal symmetry candidate	16.2	K	no	proof:E01	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
E02	Observable coupling and phenomenology comparison	16.3	K	no	proof:E02	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
E03	E->A allowed output profile	16.4	K	no	proof:E03	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR00	Backreaction input DAG	17	K	no	proof:BR00	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR01	B->A backreaction input gate	17.1	K	no	proof:BR01	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR02	C->A OQS backreaction input gate	17.2	K	no	proof:BR02	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR03	D->A spacetime backreaction input gate	17.3	K	no	proof:BR03	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR04	E->A matter backreaction input gate	17.4	K	no	proof:BR04	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR05	Pre/post-emergence switch for A statements	17.5	K	no	proof:BR05	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
SIDE0	Full ToE comparison profile	18.1	K	no	proof:SIDE0	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
SIDE1	String-theory comparison profile	18.2	K	no	proof:SIDE1	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
SIDE2	Loop quantum gravity comparison profile	18.3	K	no	proof:SIDE2	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
SIDE3	Noncommutative geometry comparison profile	18.4	K	no	proof:SIDE3	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
MOON3	Finite simple group comparison profile	12.4	K	no	proof:MOON3	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
MOON4	Sporadic/Monster comparison boundary	12.4	K	no	proof:MOON4	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
MOON5	Leech lattice comparison profile	12.5	K	no	proof:MOON5	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
