Object ID	Object	Phase	Object status	Proof documentation status	Proof dossier	Consumption class	Classification evidence	Public promotion gate
MOON6	Leech theta/shell coefficient comparison	12.6	K	no	proof:MOON6	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
MOON7	VOA/moonshine-module comparison profile	12.7	K	no	proof:MOON7	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
MOON8	Common-indicator / Hauptmodul bridge-test profile	12.8	K	no	proof:MOON8	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG0	Consumption and split inventory umbrella	1.1.1	Y	no	proof:LEG0	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG1	Legacy single-constructor status gates	1.1.2	Y	no	proof:LEG1	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG2	CoreSymbols true notation surface	1.1.3	Y	no	proof:LEG2	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG3	Legacy phase aliases compatibility surface	1.1.4	Y	no	proof:LEG3	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG4	Neutral import firewall for post-notation phases	1.1.5	Y	no	proof:LEG4	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG5	Declaration consumption classification map	1.1.1.1.4	G	documented-in-v43	proof:LEG5	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG7	Blue-object semantic correction ledger	1.1.1.2	Y	no	proof:LEG7	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG6	Public API contract and consumer whitelist	1.1.1.3	Y	no	proof:LEG6	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG8	Pruning and dead-candidate ledger	1.1.1.4	Y	no	proof:LEG8	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG9	Generated-view authority and implementation-lock contract	1.1.1.5	Y	no	proof:LEG9	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG10	Implementation module manifest and semantic placement contract	1.1.1.1.1	G	documented-in-v40	proof:LEG10	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG11	Reuse/duplication ledger and canonical generator policy	1.1.1.1.2	G	documented-in-v41	proof:LEG11	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG12	Object and size proof-documentation infrastructure	1.1.1.1.3	G	documented-in-v42	proof:LEG12	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG13	Global no-go guardrail contract	1.1.1.1.0	G	yes	proof:LEG13	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG14	Concrete computable instance traversal contract	1.1.1.1.0.1	G	yes-infrastructure	proof:LEG14	final-output	green object with documented dossier; still subject to public API contract if exported	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG15	Mathlib complication and noncomputable-boundary log	1.1.1.1.0.1	G	yes-infrastructure	proof:LEG15	final-output	green object with documented dossier; still subject to public API contract if exported	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG16	Semi-automated existing-code documentation coverage	19.1	K	no	proof:LEG16	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG17	Derivation-graph geometry diagnostics	19.2	K	no	proof:LEG17	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG18	Open-system emergence-path forensics	19.3	K	no	proof:LEG18	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG19	Reflective CNNA/formalization graph comparison boundary	19.4	K	no	proof:LEG19	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG20	EXEC-2 rational ExecComplex boundary policy	1.1.1.1.0.2	G	yes	proof:LEG20	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG21	Refactor regression and incremental migration protocol	1.1.1.1.0.3	G	yes	proof:LEG21	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG22	Lean/mathlib version migration policy	1.1.1.1.0.4	G	yes	proof:LEG22	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG23	Phase-type-specific scratchpad schema and governance retrospective	1.1.1.1.0.5	G	yes	proof:LEG23	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG24	Phase 3 to Phase 4 consumer-contract direction	1.1.1.1.0.6	G	yes	proof:LEG24	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG25	IdealThread/CutSpec.full extremal-route contract	1.1.1.1.0.7	W	yes	proof:LEG25	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
S07	IdealThread singleton directed-family profile	1.2.7	G	no	proof:S07	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
S08	CutSpec.full maximal-carrier profile	1.2.8	G	no	proof:S08	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR06	Boundary-route extrema contract	3.0	G	no	proof:BR06	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR07	Thread-recursion arithmetic-shadow audit profile	4.0	Y	no	proof:BR07	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR09	Subsystem-induced invariant bifurcation profile	10.4.1	K	no	proof:BR09	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR08	Horizontal/vertical Schur-duality bridge	10.4.1	K	no	proof:BR08	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG26	Reflective thread/full-boundary analogy diagnostic boundary	19.5	K	no	proof:LEG26	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG27	Horizontal/vertical Schur-duality dependency-order lock	1.1.1.1.0.8	G	yes	proof:LEG27	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG28	Heuristic Eisenstein/Gauss lattice test-matrix boundary contract	1.1.1.1.0.9	G	yes	proof:LEG28	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG29	General early finite computation test-matrix contract	1.1.1.1.0.10	G	documented as planning invariant	proof:LEG29	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
L09	Static branching Eisenstein/Gauss lattice test matrix	8.5	Y	no	proof:L09	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
L10	Dynamic branching and L_max lattice test sweep	8.6	Y	no	proof:L10	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
M08	Eisenstein/Gauss CM and j special-value test targets	8.5	Y	no	proof:M08	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR10	Hierarchical versus spiral embedding collision and closure audit	8.6	Y	no	proof:BR10	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG30	Regime-typed early test-matrix contract	1.1.1.1.0.11	G	documented as planning invariant	proof:LEG30	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
O08	Regime-typed finite computation test matrix profile	4.0.2	Y	planned dossier; must be filled before implementation	proof:O08	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
N18	Heegner regime-projection classification profile	7.2.1	Y	no	proof:N18	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR11	IDEAL_infty projection and complement-family Heegner boundary	7.2.1	Y	no	proof:BR11	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR12	noOuter REAL-root Eisenstein/Gauss sentinel hypothesis	4.0.2	Y	no	proof:BR12	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG31	Computable scalar architecture contract	1.1.1.1.0.12	G	yes	proof:LEG31	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG32	Derived-only exact quadratic provenance contract	1.1.1.1.0.13	G	yes	proof:LEG32	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG33	Phase 5-10 bifurcation and dependency repair contract	1.1.1.1.0.14	G	yes	proof:LEG33	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
O09	Required exact quadratic operational scalar schema	1.2.1.2	Y	no	proof:O09	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
O10	Proof-carrying discriminant-indexed quadratic scalar instance	4.5.1	Y	no	proof:O10	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR13	ExecComplex to exact-quadratic projection bridge	4.0.3	Y	no	proof:BR13	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR14	Discriminant-source to exact-quadratic algebra instantiation bridge	4.5.1	Y	no	proof:BR14	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CD9	Cayley-Dickson C-layer noncircularity audit	10.4.3	K	no	proof:CD9	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG34	Phase-object-link policy contract	1.1.1.1.0.15	G	documented-in-v38	proof:LEG34	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG35	Ontic subsystem-minimality contract	1.1.1.1.0.16	G	documented-in-v39	proof:LEG35	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR0	Database-ready CNNA review and documentation structure	20	G	yes	proof:DBR0	final-output	green object with documented dossier; still subject to public API contract if exported	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR1	Expert-review and no-infallibility epistemic rule	20.1	G	yes	proof:DBR1	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR2	Database-ready YAML schema and round-trip target	20.2	K	no	proof:DBR2	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR3	Discipline-separated expert-review matrix	20.3	K	no	proof:DBR3	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR4	Blue/reference-theory audit ledger	20.4	K	no	proof:DBR4	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR5	Interactive/online database-backed documentation views	20.5	K	no	proof:DBR5	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR6	Context-filtered documentation slice generator	20.6	G	yes	proof:DBR6	final-output	green object with documented dossier; still subject to public API contract if exported	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR7	Stats front section and tool-interface documentation layer	20.7	G	yes	proof:DBR7	final-output	green object with documented dossier; still subject to public API contract if exported	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG36	Semantic module consolidation ledger	1.1.1.1.5	Y	active-prepared-in-V1.12	proof:LEG36	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR8	Root artifact retention and cleanup policy	20.8	G	yes	proof:DBR8	final-output	green object with documented dossier; still subject to public API contract if exported	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR9	Current README and workflow-orientation manual	20.9	G	yes	proof:DBR9	final-output	green object with documented dossier; still subject to public API contract if exported	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR10	Root Lean/Lake project-control files	20.10	G	yes	proof:DBR10	final-output	green object with documented dossier; still subject to public API contract if exported	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR11	Root license, single-root README, credits and assistant-requirement surface	20.11	G	yes	proof:DBR11	final-output	green object with documented dossier; still subject to public API contract if exported	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR12	Generated PDF section-pagebreak layout invariant	20.12	G	yes	proof:DBR12	final-output	green object with documented dossier; still subject to public API contract if exported	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR13	Phase status release policy and red-lock ledger	20.13	G	yes	proof:DBR13	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR14	Static documentation explanations and module-change appendix policy	20.14	G	yes	proof:DBR14	final-output	green object with documented dossier; still subject to public API contract if exported	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG37	Current source intake completeness ledger	1.1.1.1.5.1	Y	active-prepared	proof:LEG37	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG38	Neutral module-name and facade migration map	1.1.1.1.5.2	Y	active-prepared	proof:LEG38	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG39	Neutral refactor execution certificate	1.1.1.1.5.3	Y	active-prepared	proof:LEG39	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG40	Post-refactor inventory closure certificate	1.1.1.1.5.4	Y	active-prepared	proof:LEG40	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG41	Pre-substantive-code release certificate	1.1.1.1.5.5	Y	active-prepared	proof:LEG41	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR15	provider-neutral SQL database mirror feasibility and schema design	20.15	W	planned	proof:DBR15	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR16	YAML/exports to SQL import and roundtrip contract	20.16	W	planned	proof:DBR16	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR17	Append-only snapshot and checksum model	20.17	W	planned	proof:DBR17	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR18	Public read-only API views and read-only access policies	20.18	W	planned	proof:DBR18	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR19	cnna-project.net web-frontend data contract	20.19	W	planned	proof:DBR19	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR20	Reviewer annotation and future admin-write model	20.20	W	planned	proof:DBR20	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR21	Enlarged generated-PDF typography profile	20.21	G	yes	proof:DBR21	final-output	green object with documented dossier; still subject to public API contract if exported	blue objects are blocked; all public exports additionally require proof dossier and public API contract
GA0	Horn quaternion/geometric-algebra reference-gate packet	1.4.9	K	no	proof:GA0	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
GA1	Hamilton unit and Pauli/Cartan sign-convention comparison profile	1.4.9.1	K	no	proof:GA1	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
GA2	Pauli bivector/pseudoscalar duality comparison profile	1.4.9.2	K	no	proof:GA2	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
GA3	Complex-quaternion eight-basis multivector comparison profile	1.4.9.2	K	no	proof:GA3	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
GA4	Boundary Pauli/Clifford comparison gate	13.2.1	K	no	proof:GA4	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
GA5	Dirac/spacetime-algebra comparison target gate	13.6.1	K	no	proof:GA5	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
GA6	Geometric and conformal algebra side-comparison register	18.5	K	no	proof:GA6	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DBR27	Phase/Object context-class taxonomy	20.27	G	yes	proof:DBR27	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CEX0	Explorer-readiness audit ledger	21.0	Y	active-prepared	proof:CEX0	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CEX1	Explorer semantic graph schema	21.1	W	planned	proof:CEX1	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CEX2	YAML2SQL/MySQL mirror contract	21.2	W	planned	proof:CEX2	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CEX3	Explorer read-only API/query projection contract	21.3	W	planned	proof:CEX3	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CEX4	Dark Pillar-hub star-map UI shell	21.4	W	planned	proof:CEX4	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CEX5	Inspector/menu/i18n explanation contract	21.5	W	planned	proof:CEX5	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CEX6	Explorer filter and projection engine	21.6	W	planned	proof:CEX6	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CEX7	History and hypothesis lifecycle layer	21.7	W	planned	proof:CEX7	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CEX8	Explorer lab-boundary contract	21.8	W	planned	proof:CEX8	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CEX9	CNNA Explorer deployment and Universe Explorer roadmap	21.9	W	planned	proof:CEX9	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CEX10	Object lifecycle and historical provenance ledger	21.0	Y	active-prepared	proof:CEX10	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CEX11	Total Lean declaration classification ledger	21.0	Y	active-prepared	proof:CEX11	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CEX12	GitHub repository automation and backup-gated PR contract	21.2.1	W	planned	proof:CEX12	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CEX13	GitHub Actions Lean-build and snapshot-artifact pipeline	21.2.2	W	planned	proof:CEX13	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CEX14	Webhosting-local MySQL staging import, read-only swap and rollback contract	21.2.3	W	planned	proof:CEX14	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CEX15	CI build-result phase-state controller and automatic repair-phase generator	21.2.4	W	planned	proof:CEX15	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
CEX16	Red-build failure visibility snapshot and repair-phase publication channel	21.2.5	W	planned	proof:CEX16	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
B07	Complement-net modular B core chain	13.8	R	no	proof:B07	dead-candidate	object register status R; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
B08	Nuclearity/DHR/DR reconstruction bridge	13.9	R	no	proof:B08	dead-candidate	object register status R; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
PC00	ParameterClosure chain	15.5	R	no	proof:PC00	dead-candidate	object register status R; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
D04	LCQFT/Hadamard/Wick D gate chain	15.6	R	no	proof:D04	dead-candidate	object register status R; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
DE00	D/E bridge gate chain	16.5	R	no	proof:DE00	dead-candidate	object register status R; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
E04	Feynman matter audit gate	16.5	R	no	proof:E04	dead-candidate	object register status R; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
E05	Particle/scattering/IR horizon window	16.6	K	no	proof:E05	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
RDV0	Original roadmap source/definition/notation audit ledger	22.0	K	no	proof:RDV0	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
RDV1	Roadmap migration disposition ledger	22.1	K	no	proof:RDV1	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
RDV2	Roadmap de-seeding/regression/rollback workflow ledger	22.2	K	no	proof:RDV2	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
RDV3	Roadmap modular B gate-sheet ledger	22.3	K	no	proof:RDV3	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
RDV4	Roadmap ParameterClosure gate-sheet ledger	22.4	K	no	proof:RDV4	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
RDV5	Roadmap D/E bridge and local-covariance gate-sheet ledger	22.5	K	no	proof:RDV5	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
RDV6	Roadmap Feynman/scattering/IR audit ledger	22.6	K	no	proof:RDV6	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
RLC0	REALOQS v0.0605 legacy source inventory ledger	23.0	K	no	proof:RLC0	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
RLC1	REALOQS AQFT foundation migration-disposition ledger	23.1	R	no	proof:RLC1	dead-candidate	object register status R; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
RLC2	REALOQS-to-CNNA A->B handoff compatibility ledger	23.2	R	no	proof:RLC2	dead-candidate	object register status R; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
RLC3	REALOQS boundary-matrix AQFT rewrite ledger	23.3	R	no	proof:RLC3	dead-candidate	object register status R; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
RLC4	REALOQS Haag-Kastler gate extraction ledger	23.4	R	no	proof:RLC4	dead-candidate	object register status R; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
RLC5	REALOQS state-GNS-KMS-modular route map	23.5	R	no	proof:RLC5	dead-candidate	object register status R; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
RLC6	REALOQS quasi-local split/nuclearity horizon map	23.6	R	no	proof:RLC6	dead-candidate	object register status R; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
RLC7	REALOQS examples/meta quarantine and regression ledger	23.7	R	no	proof:RLC7	dead-candidate	object register status R; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
RLC8	REALOQS declaration crosswalk and Explorer legacy overlay ledger	23.8	R	no	proof:RLC8	dead-candidate	object register status R; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
